rank,combo_size,factors_key,label,ret5,ann5,sharpe5,mdd5,win5,trades5,ret1,ret3,ret10,ret20
31,3,profit_forecast+margin+ranking_momentum,盈利预测+融资融券+排名动量,2.3210616739999996,1.4470584692459085,2.1652355167228095,0.1871306567205007,0.5331325301204819,332,1.643781416,1.9382438920000002,3.3373636340000004,3.795564778
32,4,profit_forecast+margin+ranking_momentum+insider_buy,盈利预测+融资融券+排名动量+高管增持,2.3210616739999996,1.4470584692459085,2.1652355167228095,0.1871306567205007,0.5331325301204819,332,1.643781416,1.9382438920000002,3.3373636340000004,3.795564778
33,4,profit_forecast+margin+ranking_momentum+performance,盈利预测+融资融券+排名动量+业绩,2.270088012,1.4190009188748869,2.172248288194586,0.24104147137980872,0.5421686746987951,332,1.37151616,1.6524796739999998,2.279759258,2.993224572
34,5,profit_forecast+margin+ranking_momentum+insider_buy+performance,盈利预测+融资融券+排名动量+高管增持+业绩,2.270088012,1.4127057743707874,2.168856956253572,0.24104147137980872,0.5421686746987951,332,1.37151616,1.6524796739999998,2.279759258,2.993224572
35,4,profit_forecast+ranking_momentum+buyback+insider_buy,盈利预测+排名动量+回购+高管增持,2.107050896,1.3227019078277062,2.8142206589839764,0.159888809559194,0.5692771084337349,332,1.534296918,1.633336262,2.098658188,1.9838863420000001
36,5,profit_forecast+ranking_momentum+buyback+insider_buy+performance,盈利预测+排名动量+回购+高管增持+业绩,2.0192283260000004,1.2737191409466937,2.496553388873156,0.2067003665524926,0.5783132530120482,332,1.952251858,1.9321027339999999,2.014735256,1.692244598
37,3,margin+ranking_momentum+performance,融资融券+排名动量+业绩,1.8133981760000002,1.162368825445168,1.8114702533042801,0.41306447060351376,0.5753012048192772,332,0.976597948,3.00437382,1.874219218,1.703888702
38,4,margin+ranking_momentum+insider_buy+performance,融资融券+排名动量+高管增持+业绩,1.8133981760000002,1.1574551596745897,1.808647325453527,0.41306447060351376,0.5753012048192772,332,0.976597948,3.00437382,1.874219218,1.703888702
39,4,profit_forecast+buyback+insider_buy+performance,盈利预测+回购+高管增持+业绩,1.7969842440000001,1.1480914087557785,1.7995041834191972,0.24802247196068006,0.5662650602409639,332,2.3021926539999997,1.9610130300000002,1.341501388,1.08023698
40,4,profit_forecast+ranking_momentum+buyback+performance,盈利预测+排名动量+回购+业绩,1.6815118100000002,1.0818122385534386,2.0646327947470735,0.18624930986585905,0.5481927710843374,332,-0.07805795399999992,0.966903148,2.4015617880000004,2.542909526
41,4,profit_forecast+margin+institution_hold+ranking_momentum,盈利预测+融资融券+机构持股+排名动量,1.6619718120000002,1.0749880107002636,1.9828339015844354,0.20079864554611032,0.5030120481927711,332,0.7896266980000001,1.70803003,2.434034562,2.5593655159999997
42,5,profit_forecast+margin+institution_hold+ranking_momentum+insider_buy,盈利预测+融资融券+机构持股+排名动量+高管增持,1.6619718120000002,1.070524827496663,1.9797209507584066,0.20079864554611032,0.5030120481927711,332,0.7896266980000001,1.70803003,2.434034562,2.5593655159999997
43,5,profit_forecast+margin+institution_hold+ranking_momentum+buyback,盈利预测+融资融券+机构持股+排名动量+回购,1.65783345,1.0681315503478168,1.8486441679930312,0.24219918142122462,0.49698795180722893,332,1.37010688,1.7364267660000001,2.200203546,2.414583534
44,3,margin+insider_buy+performance,融资融券+高管增持+业绩,1.576588496,1.0251613628265503,1.3231813834199229,0.537191923617631,0.5933734939759037,332,1.3086022760000002,1.563708706,1.3146540219999998,0.8777807739999999
45,3,profit_forecast+margin+performance,盈利预测+融资融券+业绩,1.5411204879999998,1.0043404628868187,1.2944407525374504,0.6358848219048081,0.5512048192771084,332,1.1292934600000002,1.391818484,0.5933839759999999,0.221379484
46,4,profit_forecast+margin+insider_buy+performance,盈利预测+融资融券+高管增持+业绩,1.5411204879999998,1.0043404628868187,1.2944407525374504,0.6358848219048081,0.5512048192771084,332,1.1292934600000002,1.391818484,0.5933839759999999,0.221379484
47,3,profit_forecast+margin+buyback,盈利预测+融资融券+回购,1.31222337,0.8681288308444544,1.205338884742772,0.5017477663300711,0.5542168674698795,332,0.5323562980000001,0.749828064,2.041178096,1.333741816
48,4,profit_forecast+margin+buyback+insider_buy,盈利预测+融资融券+回购+高管增持,1.31222337,0.8681288308444544,1.205338884742772,0.5017477663300711,0.5542168674698795,332,0.5323562980000001,0.749828064,2.041178096,1.333741816
49,3,ranking_momentum+buyback+performance,排名动量+回购+业绩,1.156380566,0.7734258188504637,1.8742647887611668,0.21311768812928816,0.5451807228915663,332,0.48506838399999996,1.9773771059999998,1.3844664960000002,1.5927773219999999
50,4,ranking_momentum+buyback+insider_buy+performance,排名动量+回购+高管增持+业绩,1.0238141,0.6888685840779922,1.6985114902533682,0.25657863612469173,0.5542168674698795,332,1.80075091,1.22157478,1.0382527480000001,1.2430432420000002
51,5,margin+institution_hold+ranking_momentum+buyback+performance,融资融券+机构持股+排名动量+回购+业绩,0.8695848,0.5922280040823689,1.4989284995009269,0.2278357745844938,0.5240963855421686,332,0.46667890600000006,0.8760773539999999,0.7217889960000001,0.47085246
52,3,profit_forecast+ranking_momentum+performance,盈利预测+排名动量+业绩,0.8283150699999999,0.5681056905064465,1.049223133963763,0.4013995912860138,0.572289156626506,332,1.44907811,0.5779046460000001,2.378327094,2.369301062
53,3,ranking_momentum+buyback+insider_buy,排名动量+回购+高管增持,0.7733904600000001,0.5328480809112786,1.5932577917237634,0.2212232995067562,0.5451807228915663,332,1.69604908,1.698887052,0.75435958,0.7870981739999998
54,5,institution_hold+ranking_momentum+buyback+insider_buy+performance,机构持股+排名动量+回购+高管增持+业绩,0.7674879480000001,0.5271285604773872,1.4098021072602698,0.18682614827803898,0.49096385542168675,332,0.17941821799999996,0.435317616,0.8115192859999999,0.6199647359999999
55,4,institution_hold+ranking_momentum+buyback+performance,机构持股+排名动量+回购+业绩,0.7479935579999998,0.5145900283006135,1.3602502932419147,0.16088807091860505,0.4939759036144578,332,0.2607258539999999,0.3809040800000001,0.7447341579999999,0.56238829
